Id,SalePrice
1461,207913.17359919462
1462,191171.51734085914
1463,218530.35529479795
1464,172969.58554187918
1465,301561.8247385482
1466,160304.25580752542
1467,278024.28177849954
1468,215490.93805522792
1469,131392.41108511825
1470,123457.51714611285
1471,128966.52520636142
1472,387459.970198837
1473,131301.5066874628
1474,223550.0462803129
1475,149450.05814275893
1476,132875.6763629091
1477,156023.4547532775
1478,110341.16000880214
1479,154724.38308924608
1480,127170.93235354217
1481,323942.8792337701
1482,127730.13094214805
1483,227885.84107831868
1484,140330.2494768647
1485,151849.66133370978
1486,250960.6256574989
1487,130036.11630217399
1488,290450.3009350935
1489,196368.3535882
1490,68884.98282898836
1491,67586.79437209286
1492,135227.17624859943
1493,201959.64939598358
1494,173475.6718897297
1495,289190.44339692744
1496,310699.8685984702
1497,148233.59502698868
1498,146126.8181921406
1499,124946.90153070114
1500,80436.04186917341
1501,144337.8402950683
1502,160289.4657904081
1503,147557.41368897285
1504,132668.28191394891
1505,142010.28301385976
1506,299763.66466414585
1507,259548.47089583843
1508,249425.22731349536
1509,96196.74171821012
1510,132624.731288705
1511,179739.79159442283
1512,125728.63913159793
1513,100631.23380947798
1514,337914.5949480673
1515,128588.1062945784
1516,162441.72840518743
1517,197991.7471334645
1518,195229.9156148953
1519,439548.8066779797
1520,118858.54454955427
1521,173883.4490246962
1522,102876.75315666555
1523,213302.3813832347
1524,133457.32434177145
1525,226976.74310530873
1526,300151.3464612552
1527,220431.4398988029
1528,217284.92863548518
1529,76626.6367572135
1530,223517.17986218142
1531,267935.34884163295
1532,118389.85990141702
1533,192998.43221108837
1534,138746.84718305265
1535,101990.86561126944
1536,97282.34223061496
1537,117212.65507917358
1538,118205.93168549541
1539,120552.16492750033
1540,115418.91345360586
1541,198839.56811311396
1542,163068.31364960613
1543,242483.48157123197
1544,125528.97982176763
1545,166017.61146924895
1546,265607.0504968861
1547,182804.58422314556
1548,160838.4477153873
1549,57333.74018372683
1550,121150.59551512965
1551,104672.99384118503
1552,111659.53367389721
1553,146546.6398112874
1554,138335.41473984942
1555,193646.22191332254
1556,190911.20266522322
1557,214690.8169747572
1558,109898.9019693883
1559,81725.35404921796
1560,117870.0914034209
1561,215340.35039082234
1562,168996.61516244005
1563,116925.2671526247
1564,183299.32785375096
1565,156623.4026717812
1566,252133.0867351821
1567,93819.27385569007
1568,92641.85384354409
1569,114865.29303195068
1570,206702.84217914968
1571,143503.89636685915
1572,182718.07334780932
1573,354035.4178664595
1574,219816.49064567563
1575,240964.44586576562
1576,167147.53470415517
1577,123165.82535784775
1578,142692.57135667975
1579,303537.60313482286
1580,177603.76767339182
1581,174512.38109561193
1582,95311.90333630603
1583,143113.037231217
1584,158837.83805311177
1585,174180.4850521596
1586,98648.78794057724
1587,126825.54627978965
1588,84173.3772709321
1589,139811.783305846
1590,143110.0345120209
